model,variable,coef,se,t_stat,p_value,IRR,IRR_lo,IRR_hi,stars
PPML-3 No Year FE,ln_gdppc_org,0.2609437244765221,0.09039705845235411,2.886639553808696,0.003893800246614361,1.2981546090478866,1.087377403923439,1.5497888616332924,***
PPML-3 No Year FE,ln_gdppc_des,-0.10259802467865135,0.10488658895173866,-0.9781805825133627,0.32798501830967175,0.90248967915606,0.7347889517447791,1.1084647081984318,
PPML-3 No Year FE,ln_pop_org,0.6323376018792987,0.3067534056128453,2.061387389052738,0.03926609700122822,1.882004819273891,1.031601010677648,3.433441905454789,**
PPML-3 No Year FE,ln_pop_des,0.1251107118510948,0.31271057049342144,0.40008469062521435,0.6890941397791215,1.1332739129744518,0.6139813389410668,2.0917732842556314,
PPML-3 No Year FE,ln_dist,-0.5803432821099266,0.0266719097795289,-21.758594975278033,5.727652352335139e-105,0.5597061964589499,0.5311986274570454,0.5897436667979286,***
PPML-3 No Year FE,comlang_off,0.9631784278342369,0.05678767880341809,16.96104591928245,1.5948019286629785e-64,2.6200107683825555,2.3440416084768834,2.9284703827851217,***
PPML-3 No Year FE,contig,1.219009292053705,0.06555940701296357,18.59396458257563,3.595893692865778e-77,3.383833681535404,2.9758068593728204,3.847806973167174,***
PPML-3 No Year FE,colony,0.7793848001376359,0.051949561185009166,15.002721531409955,7.046954669204513e-51,2.1801306367879283,1.9690782329669805,2.413804344533141,***
PPML-3 No Year FE,inflation_org,0.002650463953050488,0.00620583166918641,0.4270924663024201,0.6693119799982274,1.0026539795379246,0.9905323603922732,1.0149239367455996,
PPML-3 No Year FE,ln_internet_use_org,0.06815264070125945,0.04056697669767929,1.6800029543527275,0.09295674091659109,1.0705287022600178,0.9887070766368573,1.159121573460169,*
PPML-3 No Year FE,ln_disaster_org,-0.013903398230697556,0.03071480983188354,-0.4526610552628302,0.6507928268742423,0.9861928076315734,0.9285757490948346,1.0473849384633425,
PPML-3 No Year FE,ln_disaster_des,-0.022164651593258727,0.03224770634755063,-0.6873249016341977,0.4918780101020006,0.9780791794973097,0.918173420834765,1.0418934589681264,
PPML-SUR,ln_gdppc_org,0.6987602135410201,0.11007039297764172,6.348303068954767,2.177028841306455e-10,2.011257631132542,1.6209723861551468,2.495512751073918,***
PPML-SUR,ln_gdppc_des,-0.061102095365090536,0.08659532116504468,-0.7056050435869876,0.4804337868859829,0.9407271909870106,0.7938777426687984,1.1147404698452612,
PPML-SUR,ln_pop_org,0.7479229239114376,0.2596727421731309,2.880251957337813,0.003973574810613436,2.112607409967029,1.269945138473844,3.5144117123131307,***
PPML-SUR,ln_pop_des,-0.19015370191661418,0.24636604701938128,-0.7718340421383433,0.44021272657309873,0.8268320385071699,0.5101643852965687,1.340060654184047,
PPML-SUR,ln_dist,-0.671474098466766,0.011590559096836525,-57.93284800644648,0.0,0.5109548246462605,0.49947827423861685,0.5226950726280579,***
PPML-SUR,comlang_off,0.8003337525983748,0.03170431820736927,25.243682812026133,1.3287273722509347e-140,2.2262838325263212,2.0921545721989396,2.36901219863443,***
PPML-SUR,contig,1.2447485807421967,0.02714339328119234,45.85825242434531,0.0,3.4720617464029364,3.292175220303055,3.661777385507716,***
PPML-SUR,colony,1.2550589136878632,0.0326064081940996,38.491173459423734,0.0,3.508045040125305,3.29086855350647,3.739553799690698,***
PPML-SUR,inflation_org,0.0034275874612303137,0.004442384369716247,0.7715648120401719,0.4403722219665708,1.0034334683563069,0.9947345852408649,1.0122084225851684,
PPML-SUR,ln_internet_use_org,-0.002162880759511071,0.03131492408752549,-0.06906868921239599,0.9449349438791105,0.9978394565816451,0.9384375156295085,1.06100146736274,
PPML-SUR,ln_disaster_org,-0.013994367871884544,0.018477081688617503,-0.7573905938027833,0.4488158897580543,0.9861030981062054,0.9510308451541066,1.02246875067137,
PPML-SUR,ln_disaster_des,-0.02430300380606681,0.020914283854837786,-1.162028973822365,0.24522369600792138,0.9759899362845511,0.9367917747209862,1.0168282658250614,
